bloco,accuracy_mean,accuracy_std,f1_score,dim
block0,53.6,2.5768197453450234,69.38476639476939,384
block1,70.39999999999999,2.517935662402834,80.74546765423797,384
block2,80.7,1.5684387141358094,88.49292870327898,384
block3,88.60000000000001,0.7348469228349541,93.462616663163,384
block4,92.10000000000001,1.496662954709575,95.62798038854524,384
block5,92.0,1.22474487139159,96.38977307741185,384
block6,93.50000000000001,0.4472135954999534,96.4904396596978,384
block7,94.3,0.6000000000000005,97.89608079329956,384
block8,97.29999999999998,1.2083045973594582,98.99943755719606,384
block9,97.89999999999999,0.9695359714832668,99.1009282621228,384
block10,97.10000000000001,1.0198039027185577,98.29793229529209,384
block11,96.8,1.2083045973594582,98.60042008025897,384
