bloco,accuracy_mean,accuracy_std,f1_score,dim
block0,93.39999999999999,2.3958297101421855,96.8118816115523,384
block1,95.8,1.7492855684535888,97.89393185794803,384
block2,96.2,0.9273618495495711,98.19405369351739,384
block3,96.2,1.0770329614269019,97.89220052558491,384
block4,92.80000000000001,0.9273618495495684,96.07933876634284,384
block5,89.3,1.3266499161421612,95.09890169094321,384
block6,85.50000000000001,2.645751311064589,92.50450916854395,384
block7,84.60000000000001,2.8530685235374205,92.87507450141891,384
block8,77.60000000000001,1.9849433241279226,88.67536892587374,384
block9,71.8,2.5806975801127874,85.15022758683509,384
block10,68.5,2.4083189157584566,81.55559882740296,384
block11,64.0,1.8165902124584965,80.77449265207208,384
